Date,Open,High,Low,Close,Volume
2024-09-04,1288.0,1293.0,1284.0,1292.0,1720439.0
2024-09-05,1301.0,1306.0,1301.0,1303.0,1921398.0
2024-09-06,1310.0,1317.0,1309.0,1317.0,2673809.0
2024-09-09,1311.0,1311.0,1306.0,1307.0,1889310.0
2024-09-10,1316.0,1318.0,1314.0,1316.0,1592894.0
2024-09-11,1327.0,1334.0,1324.0,1331.0,3520780.0
2024-09-12,1323.0,1324.0,1321.0,1322.0,1762458.0
2024-09-13,1325.0,1325.0,1323.0,1324.0,876411.0
2024-09-17,1334.0,1335.0,1329.0,1329.0,981243.0
2024-09-18,1327.0,1329.0,1326.0,1328.0,783508.0
2024-09-19,1314.0,1314.0,1308.0,1313.0,2244302.0
2024-09-20,1310.0,1311.0,1307.0,1310.0,1451249.0
2024-09-24,1300.0,1301.0,1295.0,1296.0,1644805.0
2024-09-25,1299.0,1300.0,1297.0,1297.0,720794.0
2024-09-26,1288.0,1291.0,1288.0,1288.0,970814.0
2024-09-27,1288.0,1291.0,1288.0,1291.0,686932.0
2024-09-30,1294.0,1296.0,1293.0,1296.0,854284.0
2024-10-01,1294.0,1294.0,1290.0,1291.0,404826.0
2024-10-02,1300.0,1302.0,1296.0,1299.0,921145.0
2024-10-03,1288.0,1288.0,1284.0,1287.0,815943.0
2024-10-04,1276.0,1281.0,1276.0,1279.0,2278348.0
2024-10-07,1258.0,1262.0,1256.0,1260.0,1623306.0
2024-10-08,1250.0,1254.0,1249.0,1254.0,1593421.0
2024-10-09,1252.0,1253.0,1248.0,1248.0,1458042.0
2024-10-10,1233.0,1233.0,1230.0,1230.0,2530556.0
2024-10-11,1229.0,1230.0,1226.0,1230.0,1318681.0
2024-10-15,1222.0,1224.0,1220.0,1224.0,1633806.0
2024-10-16,1234.0,1240.0,1233.0,1240.0,1114347.0
2024-10-17,1240.0,1241.0,1236.0,1236.0,596756.0
2024-10-18,1222.0,1223.0,1218.0,1218.0,1579638.0
2024-10-21,1218.0,1222.0,1217.0,1221.0,599904.0
2024-10-22,1200.0,1201.0,1193.0,1193.0,4034760.0
2024-10-23,1197.0,1198.0,1192.0,1192.0,1637346.0
2024-10-24,1192.0,1199.0,1192.0,1199.0,865305.0
2024-10-25,1204.0,1210.0,1203.0,1210.0,904137.0
2024-10-28,1193.0,1193.0,1187.0,1187.0,2004939.0
2024-10-29,1191.0,1194.0,1190.0,1193.0,653285.0
2024-10-30,1198.0,1199.0,1196.0,1197.0,1473651.0
2024-10-31,1197.0,1200.0,1195.0,1199.0,1206840.0
2024-11-01,1199.0,1205.0,1199.0,1204.0,805715.0
2024-11-05,1200.0,1202.0,1197.0,1199.0,963659.0
2024-11-06,1209.0,1210.0,1167.0,1176.0,5338880.0
2024-11-07,1170.0,1176.0,1170.0,1173.0,2207969.0
2024-11-08,1188.0,1189.0,1182.0,1186.0,1344094.0
2024-11-11,1193.0,1195.0,1188.0,1191.0,1399757.0
2024-11-12,1196.0,1200.0,1194.0,1197.0,1427621.0
2024-11-13,1182.0,1183.0,1175.0,1177.0,1847745.0
2024-11-14,1170.0,1170.0,1161.0,1164.0,2323446.0
2024-11-15,1172.0,1174.0,1167.0,1168.0,1465506.0
2024-11-18,1166.0,1171.0,1166.0,1171.0,1071507.0
2024-11-19,1170.0,1172.0,1169.0,1172.0,682463.0
2024-11-20,1174.0,1176.0,1172.0,1172.0,827516.0
2024-11-21,1172.0,1174.0,1171.0,1174.0,753369.0
2024-11-22,1173.0,1174.0,1171.0,1173.0,578766.0
2024-11-25,1182.0,1186.0,1180.0,1186.0,1216593.0
2024-11-26,1198.0,1198.0,1194.0,1196.0,1130491.0
2024-11-27,1195.0,1196.0,1193.0,1196.0,483542.0
2024-11-28,1200.0,1203.0,1200.0,1202.0,897679.0
2024-11-29,1205.0,1208.0,1204.0,1208.0,962187.0
2024-12-02,1215.0,1215.0,1209.0,1209.0,1381807.0
2024-12-03,1215.0,1217.0,1212.0,1212.0,1478939.0
2024-12-04,1208.0,1209.0,1206.0,1206.0,785230.0
2024-12-05,1217.0,1220.0,1216.0,1219.0,1774234.0
2024-12-06,1222.0,1226.0,1222.0,1225.0,1171560.0
2024-12-09,1223.0,1226.0,1222.0,1225.0,1861901.0
2024-12-10,1214.0,1216.0,1213.0,1214.0,1422183.0
2024-12-11,1208.0,1209.0,1204.0,1206.0,994378.0
2024-12-12,1195.0,1197.0,1191.0,1191.0,1251263.0
2024-12-13,1182.0,1185.0,1182.0,1184.0,1168532.0
2024-12-16,1174.0,1174.0,1171.0,1174.0,1590538.0
2024-12-17,1173.0,1174.0,1170.0,1170.0,2016267.0
2024-12-18,1173.0,1176.0,1173.0,1175.0,2084453.0
2024-12-19,1158.0,1158.0,1150.0,1152.0,3964125.0
