Date,Open,High,Low,Close,Volume
2024-09-04,3615.0,3640.0,3525.0,3550.0,772411.0
2024-09-05,3510.0,3555.0,3440.0,3475.0,709646.0
2024-09-06,3485.0,3500.0,3395.0,3425.0,564347.0
2024-09-09,3215.0,3370.0,3215.0,3360.0,851021.0
2024-09-10,3400.0,3420.0,3300.0,3380.0,672584.0
2024-09-11,3375.0,3425.0,3280.0,3330.0,634699.0
2024-09-12,3500.0,3535.0,3415.0,3465.0,937082.0
2024-09-13,3495.0,3530.0,3450.0,3485.0,356597.0
2024-09-17,3455.0,3455.0,3320.0,3370.0,465945.0
2024-09-18,3420.0,3440.0,3360.0,3395.0,319945.0
2024-09-19,3460.0,3490.0,3425.0,3460.0,618886.0
2024-09-20,3575.0,3595.0,3555.0,3565.0,620817.0
2024-09-24,3605.0,3625.0,3500.0,3515.0,210096.0
2024-09-25,3525.0,3580.0,3520.0,3550.0,161602.0
2024-09-26,3620.0,3715.0,3615.0,3715.0,782886.0
2024-09-27,3820.0,3895.0,3780.0,3875.0,597985.0
2024-09-30,3665.0,3735.0,3625.0,3630.0,507989.0
2024-10-01,3685.0,3745.0,3670.0,3735.0,334533.0
2024-10-02,3620.0,3650.0,3595.0,3615.0,277173.0
2024-10-03,3735.0,3770.0,3720.0,3750.0,368373.0
2024-10-04,3750.0,3760.0,3720.0,3735.0,241683.0
2024-10-07,3820.0,3840.0,3755.0,3770.0,315337.0
2024-10-08,3745.0,3780.0,3710.0,3725.0,344391.0
2024-10-09,1896.0,1901.0,1884.0,1896.0,369022.0
2024-10-10,1915.0,1915.0,1871.0,1872.0,209590.0
2024-10-11,1872.0,1889.0,1871.0,1877.0,253445.0
2024-10-15,1910.0,1962.0,1910.0,1950.0,1002631.0
2024-10-16,1842.0,1861.0,1831.0,1857.0,840185.0
2024-10-17,1855.0,1855.0,1814.0,1824.0,510310.0
2024-10-18,1837.0,1841.0,1811.0,1838.0,420548.0
2024-10-21,1839.0,1869.0,1834.0,1861.0,455797.0
2024-10-22,1859.0,1862.0,1808.0,1822.0,509936.0
2024-10-23,1818.0,1820.0,1788.0,1790.0,224395.0
2024-10-24,1763.0,1816.0,1763.0,1804.0,515488.0
2024-10-25,1788.0,1796.0,1775.0,1789.0,524061.0
2024-10-28,1786.0,1865.0,1786.0,1856.0,568825.0
2024-10-29,1844.0,1878.0,1837.0,1870.0,402651.0
2024-10-30,1900.0,1947.0,1884.0,1938.0,746658.0
2024-10-31,1923.0,1947.0,1903.0,1916.0,972367.0
2024-11-01,1844.0,1856.0,1823.0,1835.0,766975.0
2024-11-05,1833.0,1877.0,1832.0,1843.0,319388.0
2024-11-06,1888.0,1938.0,1884.0,1928.0,543289.0
2024-11-07,1956.0,1960.0,1875.0,1912.0,881426.0
2024-11-08,1930.0,1937.0,1891.0,1891.0,304197.0
2024-11-11,1884.0,1899.0,1868.0,1879.0,260949.0
2024-11-12,1876.0,1888.0,1835.0,1846.0,551876.0
2024-11-13,1846.0,1867.0,1812.0,1817.0,344767.0
2024-11-14,1806.0,1818.0,1754.0,1754.0,638748.0
2024-11-15,1765.0,1802.0,1765.0,1784.0,441344.0
2024-11-18,1731.0,1780.0,1730.0,1755.0,316880.0
2024-11-19,1748.0,1776.0,1747.0,1774.0,224450.0
2024-11-20,1780.0,1782.0,1755.0,1774.0,189724.0
2024-11-21,1779.0,1785.0,1728.0,1752.0,330703.0
2024-11-22,1767.0,1783.0,1754.0,1762.0,256595.0
2024-11-25,1771.0,1791.0,1765.0,1770.0,265132.0
2024-11-26,1761.0,1773.0,1706.0,1719.0,728679.0
2024-11-27,1700.0,1717.0,1698.0,1700.0,373904.0
2024-11-28,1670.0,1755.0,1669.0,1720.0,1071999.0
2024-11-29,1704.0,1717.0,1687.0,1705.0,309841.0
2024-12-02,1720.0,1742.0,1710.0,1734.0,372749.0
2024-12-03,1765.0,1805.0,1765.0,1789.0,1013058.0
2024-12-04,1799.0,1807.0,1761.0,1765.0,289790.0
2024-12-05,1800.0,1804.0,1766.0,1777.0,455760.0
2024-12-06,1756.0,1766.0,1722.0,1728.0,446958.0
2024-12-09,1738.0,1744.0,1700.0,1708.0,412485.0
2024-12-10,1705.0,1746.0,1705.0,1746.0,393375.0
2024-12-11,1722.0,1732.0,1711.0,1732.0,195903.0
2024-12-12,1767.0,1772.0,1745.0,1748.0,375713.0
2024-12-13,1737.0,1750.0,1732.0,1742.0,323580.0
2024-12-16,1748.0,1779.0,1745.0,1757.0,278481.0
2024-12-17,1774.0,1788.0,1730.0,1730.0,329697.0
2024-12-18,1723.0,1754.0,1718.0,1746.0,319512.0
2024-12-19,1688.0,1733.0,1683.0,1723.0,509597.0
2024-12-20,1723.0,1731.0,1704.0,1708.0,227660.0
2024-12-23,1717.0,1742.0,1707.0,1739.0,429159.0
2024-12-24,1741.0,1761.0,1729.0,1731.0,416110.0
2024-12-25,1735.0,1741.0,1719.0,1730.0,351442.0
2024-12-26,1726.0,1748.0,1725.0,1745.0,410716.0
2024-12-27,1753.0,1795.0,1753.0,1795.0,530508.0
2024-12-30,1788.0,1790.0,1757.0,1767.0,208894.0
2025-01-06,1777.0,1787.0,1769.0,1774.0,281215.0
2025-01-07,1804.0,1895.0,1804.0,1876.0,1807303.0
2025-01-08,1853.0,1917.0,1846.0,1917.0,570703.0
2025-01-09,1909.0,1914.0,1863.0,1876.0,468823.0
2025-01-10,1857.0,1904.0,1855.0,1880.0,418666.0
2025-01-14,1840.0,1851.0,1786.0,1788.0,878046.0
2025-01-15,1788.0,1796.0,1752.0,1764.0,512830.0
2025-01-16,1795.0,1813.0,1761.0,1792.0,325195.0
2025-01-17,1779.0,1806.0,1764.0,1793.0,388726.0
2025-01-20,1813.0,1837.0,1813.0,1830.0,190097.0
2025-01-21,1848.0,1861.0,1823.0,1858.0,315992.0
2025-01-22,1882.0,1936.0,1882.0,1933.0,829711.0
2025-01-23,1969.0,1971.0,1920.0,1933.0,547849.0
2025-01-24,1914.0,1928.0,1891.0,1902.0,373607.0
2025-01-27,1888.0,1891.0,1827.0,1834.0,719510.0
2025-01-28,1765.0,1777.0,1734.0,1750.0,1347328.0
2025-01-29,1785.0,1795.0,1739.0,1795.0,765598.0
2025-01-30,1782.0,1810.0,1763.0,1802.0,525832.0
2025-01-31,1814.0,1819.0,1802.0,1807.0,273235.0
2025-02-03,1752.0,1778.0,1740.0,1740.0,1810912.0
2025-02-04,1770.0,1801.0,1763.0,1772.0,443080.0
2025-02-05,1795.0,1801.0,1770.0,1777.0,223569.0
2025-02-06,1777.0,1828.0,1777.0,1824.0,1392448.0
2025-02-07,1821.0,1838.0,1820.0,1822.0,289997.0
2025-02-10,1820.0,1841.0,1818.0,1837.0,219864.0
2025-02-12,1845.0,1845.0,1816.0,1832.0,236569.0
2025-02-13,1832.0,1862.0,1832.0,1847.0,223253.0
2025-02-14,1854.0,1856.0,1830.0,1830.0,175628.0
2025-02-17,1844.0,1860.0,1842.0,1855.0,181507.0
2025-02-18,1852.0,1883.0,1852.0,1868.0,194413.0
2025-02-19,1870.0,1910.0,1870.0,1908.0,234783.0
2025-02-20,1911.0,1928.0,1892.0,1901.0,421381.0
2025-02-21,1883.0,1930.0,1883.0,1930.0,332106.0
2025-02-25,1867.0,1910.0,1859.0,1864.0,718153.0
2025-02-26,1835.0,1841.0,1809.0,1825.0,376889.0
2025-02-27,1850.0,1860.0,1830.0,1839.0,169803.0
2025-02-28,1765.0,1778.0,1723.0,1733.0,547756.0
2025-03-03,1777.0,1777.0,1735.0,1745.0,247122.0
2025-03-04,1705.0,1716.0,1664.0,1708.0,664449.0
